seedling_id,seedling_sp,soil_type,neighbor,neighb_sp,neighb_st,pot,treatment
3769,P,Q,4082,Q,P,211040,D
3281,P,C,3279,P,C,211267,D
3279,P,C,3281,P,C,211267,D
4290,P,P,4291,P,P,211270,C
4291,P,P,4290,P,P,211270,C
4030,Q,P,4149,Q,P,211274,D
4149,Q,P,4030,Q,P,211274,D
3711,Q,Q,4246,P,P,211026,D
4246,P,P,3711,Q,Q,211026,D
4088,Q,P,3684,Q,Q,211064,C
3684,Q,Q,4088,Q,P,211064,C
4281,P,P,3390,P,C,211015,C
3390,P,C,4281,P,P,211015,C
3140,Q,C,3620,Q,Q,211309,D
3620,Q,Q,3140,Q,C,211309,D
3594,Q,Q,3087,Q,C,211275,C
3087,Q,C,3594,Q,Q,211275,C
4166,Q,P,4229,P,P,211025,NA
4229,P,P,4166,Q,P,211025,NA
3915,P,Q,3958,P,Q,211039,C
3958,P,Q,3915,P,Q,211039,C
3481,Q,Q,3038,Q,C,211006,C
3038,Q,C,3481,Q,Q,211006,C
3356,P,C,3813,P,Q,211281,C
3813,P,Q,3356,P,C,211281,C
3364,P,C,4435,P,P,211319,C
4435,P,P,3364,P,C,211319,C
3760,P,Q,4026,Q,P,211273,D
4026,Q,P,3760,P,Q,211273,D
3943,P,Q,4192,Q,P,211093,C
4192,Q,P,3943,P,Q,211093,C
4317,P,P,3638,Q,Q,211046,C
3638,Q,Q,4317,P,P,211046,C
4319,P,P,3495,Q,Q,211004,C
3495,Q,Q,4319,P,P,211004,C
4213,P,P,4187,Q,P,211019,C
4187,Q,P,4213,P,P,211019,C
3002,Q,C,3005,Q,C,211080,D
3005,Q,C,3002,Q,C,211080,D
4005,Q,P,3504,Q,Q,211003,C
3504,Q,Q,4005,Q,P,211003,C
4341,P,P,4391,P,P,211077,D
4391,P,P,4341,P,P,211077,D
4390,P,P,3805,P,Q,211002,C
3805,P,Q,4390,P,P,211002,C
3126,Q,C,3111,Q,C,211022,C
3111,Q,C,3126,Q,C,211022,C
4183,Q,P,3959,P,Q,211038,C
3959,P,Q,4183,Q,P,211038,C
4167,Q,P,4196,Q,P,211018,D
4196,Q,P,4167,Q,P,211018,D
3013,Q,C,3980,Q,P,211096,C
3980,Q,P,3013,Q,C,211096,C
3778,P,Q,4002,Q,P,211063,C
4002,Q,P,3778,P,Q,211063,C
3509,Q,Q,3125,Q,C,211041,C
3125,Q,C,3509,Q,Q,211041,C
3033,Q,C,4155,Q,P,211061,D
4155,Q,P,3033,Q,C,211061,D
3275,P,C,3801,P,Q,211059,D
3801,P,Q,3275,P,C,211059,D
3274,P,C,3259,P,C,211042,D
3259,P,C,3274,P,C,211042,D
4261,P,P,3954,P,Q,211089,D
3954,P,Q,4261,P,P,211089,D
3782,P,Q,3628,Q,Q,211011,D
3628,Q,Q,3782,P,Q,211011,D
3946,P,Q,4185,Q,P,211338,C
4185,Q,P,3946,P,Q,211338,C
3985,Q,P,4269,P,P,211054,C
4269,P,P,3985,Q,P,211054,C
4266,P,P,4398,P,P,211043,D
4398,P,P,4266,P,P,211043,D
3392,P,C,3400,P,C,211060,C
3400,P,C,3392,P,C,211060,C
3112,Q,C,3993,Q,P,211058,C
3993,Q,P,3112,Q,C,211058,C
4163,Q,P,3937,P,Q,211084,D
3937,P,Q,4163,Q,P,211084,D
3921,P,Q,3972,Q,P,211057,D
3972,Q,P,3921,P,Q,211057,D
4417,P,P,3986,Q,P,211056,D
3986,Q,P,4417,P,P,211056,D
3977,Q,P,4176,Q,P,211055,NA
4176,Q,P,3977,Q,P,211055,NA
3705,Q,Q,3806,P,Q,211021,C
3806,P,Q,3705,Q,Q,211021,C
4368,P,P,4384,P,P,211052,C
4384,P,P,4368,P,P,211052,C
4007,Q,P,3995,Q,P,211053,C
