seedling_id,seedling_sp,soil_type,neighbor,neighb_sp,neighb_st,pot,treatment
3847,P,Q,4361,P,P,211292,D
4361,P,P,3847,P,Q,211292,D
3551,Q,Q,3052,Q,C,211284,C
3052,Q,C,3551,Q,Q,211284,C
3621,Q,Q,3619,Q,Q,211322,C
3619,Q,Q,3621,Q,Q,211322,C
4378,P,P,4089,Q,P,211323,C
4089,Q,P,4378,P,P,211323,C
3858,P,Q,3832,P,Q,211291,D
4416,P,P,3582,Q,Q,211230,D
3582,Q,Q,4416,P,P,211230,D
4286,P,P,3997,Q,P,211164,D
3997,Q,P,4286,P,P,211164,D
3832,P,Q,3858,P,Q,211291,D
3026,Q,C,3654,Q,Q,211045,D
3654,Q,Q,3026,Q,C,211045,D
3581,Q,Q,4015,Q,P,211344,D
