date_time,seedling_ID,photo_ID,sample
9/20/22,3958,2022_0920_152140_046,2
9/20/22,3915,2022_0920_152345_048,2
9/20/22,4388,2022_0920_152442_050,2
9/20/22,4392,2022_0920_152548_052,2
9/20/22,3853,2022_0920_152724_054,2
9/20/22,4055,2022_0920_153141_056,2
9/20/22,3576,2022_0920_153328_058,2
9/20/22,4329,2022_0920_153459_060,2
9/20/22,3042,2022_0920_153658_062,2
9/20/22,4017,2022_0920_153832_064,2
9/20/22,3348,2022_0920_153949_066,2
9/20/22,3359,2022_0920_154102_068,2
9/20/22,3531,2022_0920_154231_070,2
9/20/22,4146,2022_0920_154354_072,2
9/20/22,3813,2022_0920_154529_074,2
9/20/22,3495,2022_0920_154736_076,2
9/20/22,4319,2022_0920_154844_078,2
9/20/22,3593,2022_0920_155208_080,2
9/20/22,3006,2022_0920_155538_082,2
9/20/22,4008,2022_0920_155718_084,2
9/20/22,3992,2022_0920_155833_086,2
9/20/22,3684,2022_0920_160016_088,2
9/20/22,4088,2022_0920_160204_090,2
9/20/22,3594,2022_0920_160352_092,2
9/20/22,3183,2022_0920_160534_094,2
9/20/22,4322,2022_0920_160736_096,2
9/20/22,4408,2022_0920_160911_098,2
9/20/22,3109,2022_0920_161120_100,2
9/20/22,4096,2022_0920_161315_102,2
9/20/22,3181,2022_0920_161514_104,2
9/20/22,3550,2022_0920_161641_106,2
9/20/22,3386,2022_0920_161808_108,2
9/20/22,3268,2022_0920_161932_110,2
9/20/22,3107,2022_0920_162048_112,2
9/20/22,4041,2022_0920_162306_114,2
9/20/22,3273,2022_0920_162434_116,2
9/20/22,3776,2022_0920_162604_118,2
9/20/22,3016,2022_0920_162815_120,2
9/20/22,3130,2022_0920_162953_122,2
9/20/22,3606,2022_0920_163202_124,2
9/20/22,3609,2022_0920_163445_126,2
9/20/22,3569,2022_0920_163646_128,2
9/20/22,3932,2022_0920_163807_130,2
9/20/22,4291,2022_0920_164002_132,2
9/20/22,4290,2022_0920_164146_134,2
9/20/22,3970,2022_0920_164321_136,2
9/20/22,3913,2022_0920_164443_138,2
9/20/22,4317,2022_0920_164609_140,2
9/20/22,3638,2022_0920_164729_142,2
9/20/22,3390,2022_0920_164852_144,2
9/20/22,4281,2022_0920_165006_146,2
9/20/22,3112,2022_0920_165112_148,2
9/20/22,3993,2022_0920_165222_150,2
9/20/22,3381,2022_0920_165346_152,2
9/20/22,3883,2022_0920_165512_154,2
9/20/22,4422,2022_0920_165632_156,2
9/20/22,3172,2022_0920_165754_158,2
9/21/22,4332,2022_0921_103111_002,2
9/21/22,4066,2022_0921_103357_004,2
9/21/22,3414,2022_0921_103554_006,2
9/21/22,4336,2022_0921_103733_008,2
9/21/22,3662,2022_0921_103918_010,2
9/21/22,3655,2022_0921_104101_012,2
9/21/22,3833,2022_0921_104230_014,2
9/21/22,3278,2022_0921_104351_016,2
9/21/22,3783,2022_0921_104749_018,2
9/21/22,4309,2022_0921_104906_020,2
9/21/22,3554,2022_0921_105040_022,2
9/21/22,3018,2022_0921_105210_024,2
9/21/22,4144,2022_0921_105411_026,2
9/21/22,3861,2022_0921_105614_028,2
9/21/22,3509,2022_0921_105847_030,2
9/21/22,3125,2022_0921_110021_032,2
9/21/22,3616,2022_0921_110226_034,2
9/21/22,3840,2022_0921_110401_036,2
9/21/22,3035,2022_0921_110559_038,2
9/21/22,3718,2022_0921_110744_040,2
9/21/22,4390,2022_0921_110910_042,2
9/21/22,3805,2022_0921_111046_044,2
9/21/22,4031,2022_0921_111230_046,2
9/21/22,4071,2022_0921_111441_048,2
9/21/22,3535,2022_0921_111703_050,2
9/21/22,3167,2022_0921_111842_052,2
9/21/22,3533,2022_0921_112030_054,2
9/21/22,3994,2022_0921_112420_056,2
9/21/22,3504,2022_0921_112611_058,2
9/21/22,4005,2022_0921_112819_060,2
9/21/22,3197,2022_0921_113058_062,2
9/21/22,4044,2022_0921_113245_064,2
9/21/22,3252,2022_0921_113404_066,2
9/21/22,3738,2022_0921_113521_068,2
9/21/22,4413,2022_0921_113717_070,2
9/21/22,3530,2022_0921_113901_072,2
9/21/22,4284,2022_0921_114033_074,2
9/21/22,3603,2022_0921_114257_076,2
9/21/22,4282,2022_0921_114431_078,2
9/21/22,4132,2022_0921_114611_080,2
9/21/22,3506,2022_0921_114749_082,2
9/21/22,4099,2022_0921_120135_084,2
9/21/22,4283,2022_0921_120324_086,2
9/21/22,3266,2022_0921_120438_088,2
9/21/22,3127,2022_0921_120643_090,2
9/21/22,3129,2022_0921_120825_092,2
9/21/22,4185,2022_0921_120948_094,2
9/21/22,3946,2022_0921_121100_096,2
9/21/22,3087,2022_0921_121255_098,2
9/21/22,3594,2022_0921_121427_100,2
9/21/22,3787,2022_0921_121556_102,2
9/21/22,3700,2022_0921_121728_104,2
9/21/22,3378,2022_0921_121837_106,2
9/21/22,3897,2022_0921_121954_108,2
9/21/22,3778,2022_0921_122153_110,2
9/21/22,4002,2022_0921_122323_112,2
9/21/22,3787,2022_0921_132915_114,2
9/21/22,3700,2022_0921_133056_116,2
9/21/22,3378,2022_0921_133204_118,2
9/21/22,3897,2022_0921_133319_120,2
9/21/22,3778,2022_0921_133438_122,2
9/21/22,4002,2022_0921_133557_124,2
9/21/22,3508,2022_0921_133709_126,2
9/21/22,4276,2022_0921_133810_128,2
9/21/22,4308,2022_0921_133946_130,2
9/21/22,4011,2022_0921_134119_132,2
9/21/22,3980,2022_0921_134250_134,2
9/21/22,3013,2022_0921_134601_136,2
9/21/22,3705,2022_0921_134753_138,2
9/21/22,3806,2022_0921_134857_140,2
9/21/22,4100,2022_0921_135046_142,2
9/21/22,3732,2022_0921_135151_144,2
9/21/22,3894,2022_0921_135252_146,2
9/21/22,4123,2022_0921_135401_148,2
9/21/22,4233,2022_0921_135540_150,2
9/21/22,3244,2022_0921_135710_152,2
9/21/22,3481,2022_0921_135824_154,2
9/21/22,3038,2022_0921_140010_156,2
9/21/22,3126,2022_0921_140148_158,2
9/21/22,3111,2022_0921_140641_160,2
9/21/22,3519,2022_0921_140755_162,2
9/21/22,4095,2022_0921_140941_164,2
9/21/22,4205,2022_0921_141103_166,2
9/21/22,3828,2022_0921_141215_168,2
9/21/22,3943,2022_0921_141352_170,2
9/21/22,4192,2022_0921_141513_172,2
9/21/22,4269,2022_0921_141647_174,2
9/21/22,3985,2022_0921_141818_176,2
9/21/22,4151,2022_0921_141938_178,2
9/21/22,4147,2022_0921_142107_180,2
9/21/22,3536,2022_0921_142258_182,2
9/21/22,4036,2022_0921_142428_184,2
9/21/22,4092,2022_0921_142557_186,2
9/21/22,4257,2022_0921_142653_188,2
9/21/22,3011,2022_0921_142816_190,2
9/21/22,3027,2022_0921_143141_192,2
9/21/22,3539,2022_0921_143305_194,2
