plate,column,row,re_plate,re_column,re_row
219013,8,H,repot3,9,H
219013,9,A,repot3,10,A
219013,9,B,repot3,10,B
219013,9,C,repot3,10,C
219013,9,D,repot3,10,D
219013,9,E,repot3,10,E
219013,9,F,repot3,10,F
219013,9,G,repot3,10,G
219013,9,H,repot3,10,H
219013,12,A,repot3,11,A
219013,12,B,repot3,11,B
219013,12,C,repot3,11,C
219013,12,D,repot3,11,D
219013,12,E,repot3,11,E
219013,12,F,repot3,11,F
219013,12,G,repot3,11,G
219013,12,H,repot3,11,H
219014,4,A,repot3,12,A
219014,4,B,repot3,12,B
219014,4,C,repot3,12,C
219014,4,D,repot3,12,D
219014,4,E,repot3,12,E
219014,4,F,repot3,12,F
219014,4,G,repot3,12,G
219014,4,H,repot3,12,H
219015,2,A,repot4,1,A
219015,2,B,repot4,1,B
219015,2,C,repot4,1,C
219015,2,D,repot4,1,D
219015,2,E,repot4,1,E
219015,2,F,repot4,1,F
219015,2,G,repot4,1,G
219015,2,H,repot4,1,H
219017,12,A,repot4,2,A
219017,12,B,repot4,2,B
219017,12,C,repot4,2,C
219017,12,D,repot4,2,D
219017,12,E,repot4,2,E
219017,12,F,repot4,2,F
219017,12,G,repot4,2,G
219017,12,H,repot4,2,H
219018,10,A,repot4,3,A
219018,10,B,repot4,3,B
219018,10,C,repot4,3,C
219018,10,D,repot4,3,D
219018,10,E,repot4,3,E
219018,10,F,repot4,3,F
219018,10,G,repot4,3,G
219018,10,H,repot4,3,H
219019,2,A,repot4,4,A
219019,2,B,repot4,4,B
219019,2,C,repot4,4,C
219019,2,D,repot4,4,D
219019,2,E,repot4,4,E
219019,2,F,repot4,4,F
219019,2,G,repot4,4,G
219019,2,H,repot4,4,H
219019,9,A,repot4,5,A
219019,9,B,repot4,5,B
219019,9,C,repot4,5,C
219019,9,D,repot4,5,D
219019,9,E,repot4,5,E
219019,9,F,repot4,5,F
219019,9,G,repot4,5,G
219019,9,H,repot4,5,H
219020,12,A,repot4,6,A
219020,12,B,repot4,6,B
219020,12,C,repot4,6,C
219020,12,D,repot4,6,D
219020,12,E,repot4,6,E
219020,12,F,repot4,6,F
219020,12,G,repot4,6,G
219020,12,H,repot4,6,H
219001,8,A,repot5,1,A
219001,8,B,repot5,1,B
219001,8,D,repot5,1,C
219001,8,E,repot5,1,D
219001,8,H,repot5,1,E
219002,3,B,repot5,1,F
219002,9,C,repot5,1,G
219002,9,D,repot5,1,H
219002,9,E,repot5,2,A
219002,9,F,repot5,2,B
219003,6,G,repot5,2,C
219003,7,F,repot5,2,D
219003,7,H,repot5,2,E
219004,10,A,repot5,2,F
219004,10,B,repot5,2,G
219007,4,B,repot5,2,H
219007,10,D,repot5,3,A
219007,12,A,repot5,3,B
219007,12,D,repot5,3,C
219009,2,F,repot5,3,D
219009,3,G,repot5,3,E
219009,7,A,repot5,3,F
219010,2,E,repot5,3,G
219010,3,D,repot5,3,H
219010,11,G,repot5,4,A
219011,2,C,repot5,4,B
219011,8,G,repot5,4,C
219012,6,D,repot5,4,D
219012,6,H,repot5,4,E
219012,10,A,repot5,4,F
219012,10,E,repot5,4,G
219012,12,B,repot5,4,H
219012,12,F,repot5,5,A
219014,7,D,repot5,5,B
219014,8,D,repot5,5,C
219014,8,E,repot5,5,D
219014,11,F,repot5,5,E
219015,1,G,repot5,5,F
219015,7,H,repot5,5,G
219016,8,H,repot5,5,H
219016,11,H,repot5,6,A
219017,3,D,repot5,6,B
219017,3,E,repot5,6,C
219017,12,C,repot5,6,D
219017,12,D,repot5,6,E
219018,7,B,repot5,6,F
219018,9,G,repot5,6,G
219018,10,B,repot5,6,H
219018,12,C,repot5,7,A
219018,12,G,repot5,7,B
219019,1,D,repot5,7,C
219019,2,E,repot5,7,D
219019,2,H,repot5,7,E
219019,4,F,repot5,7,F
219019,4,H,repot5,7,G
219019,6,A,repot5,7,H
219019,7,D,repot5,8,A
219020,8,G,repot5,8,B
219020,11,B,repot5,8,C
219021,8,E,repot5,8,D
219021,8,F,repot5,8,E
219022,1,D,repot5,8,F
219022,1,G,repot5,8,G
219022,3,F,repot5,8,H
219022,3,G,repot5,9,A
219022,4,H,repot5,9,B
219022,5,B,repot5,9,C
219022,10,F,repot5,9,D
219022,10,G,repot5,9,E
219022,10,H,repot5,9,F
219022,12,B,repot5,9,G
219001,10,A,repot6,1,A
219001,10,B,repot6,1,B
219002,5,A,repot6,1,C
219002,5,B,repot6,1,D
219002,5,E,repot6,1,E
219002,5,F,repot6,1,F
219002,6,D,repot6,1,G
219003,2,D,repot6,1,H
219005,4,D,repot6,2,A
219005,4,G,repot6,2,B
219006,3,A,repot6,2,C
219006,3,B,repot6,2,D
219006,3,F,repot6,2,E
219006,3,G,repot6,2,F
219006,3,H,repot6,2,G
219006,4,A,repot6,2,H
219006,4,G,repot6,3,A
219008,3,C,repot6,3,B
219008,3,D,repot6,3,C
219008,3,F,repot6,3,D
219009,6,C,repot6,3,E
219009,6,D,repot6,3,F
