seedling_id,pustularia_sp,tuber_candidum,cenococcum_sp,rhizopogon_hawkerae,peziza_sp,suillus_lakei,pulled_tips,ecto_tips,prop_assign,prop_colonized
4319,3,0,0,0,0,0,4,3,0.75,0.0136986301369863
4320,3,0,0,5,0,0,8,8,1,0.5714285714285714
4321,1,0,0,3,0,0,4,4,1,0.2677165354330709
4322,0,0,0,4,0,0,4,4,1,0.44242424242424244
4323,2,0,0,6,0,0,8,8,1,0.25806451612903225
4324,4,0,0,3,0,0,8,7,0.875,0.5073170731707317
4325,0,0,0,1,0,0,4,1,0.25,0.05128205128205128
4326,1,0,0,2,0,0,4,3,0.75,0.07894736842105263
4327,1,0,0,6,0,0,8,7,0.875,0.7737556561085973
4328,1,0,0,3,0,0,4,4,1,0.4430379746835443
4329,0,0,0,4,0,0,4,4,1,0.4105263157894737
4330,0,0,0,6,0,0,6,6,1,0.23976608187134502
4332,1,0,0,5,0,0,8,6,0.75,0.25
4335,0,0,0,4,0,0,4,4,1,0.6138613861386139
4336,1,0,0,7,0,0,8,8,1,0
4341,3,0,0,3,0,0,8,6,0.75,0.7344398340248963
4343,0,0,0,4,0,0,4,4,1,0.5061728395061729
4344,0,0,0,3,0,0,4,3,0.75,0.5190839694656488
4345,0,0,0,4,0,0,4,4,1,0.5625
4348,0,0,0,6,0,0,8,6,0.75,0.075
4353,0,0,0,4,0,0,4,4,1,0.28431372549019607
4362,0,0,0,4,0,0,4,4,1,0.697986577181208
4367,0,0,0,4,0,0,4,4,1,0.4485981308411215
4368,4,0,0,4,0,0,8,8,1,0.6711409395973155
4369,0,0,0,4,0,0,4,4,1,0.2080536912751678
4370,0,0,0,4,0,0,4,4,1,0.34459459459459457
4371,3,0,0,5,0,0,8,8,1,0.6017699115044248
4373,4,0,0,0,0,0,4,4,1,0.20833333333333334
4377,1,0,0,7,0,0,8,8,1,0.2857142857142857
4379,0,0,0,2,0,0,4,2,0.5,0.3787878787878788
4380,0,0,0,3,0,0,4,3,0.75,0.24503311258278146
4383,0,0,0,8,0,0,8,8,1,0.3625
4386,0,0,0,3,0,0,4,3,0.75,0.0967741935483871
4388,0,0,0,6,0,0,8,6,0.75,0.1935483870967742
4390,3,0,0,5,0,0,8,8,1,0.6615384615384615
4391,5,0,0,2,0,0,8,7,0.875,0.7948717948717948
4392,0,0,0,2,0,0,4,2,0.5,0.44776119402985076
4394,1,0,0,6,0,0,8,7,0.875,0.3939393939393939
4396,0,0,0,4,0,0,4,4,1,0.34210526315789475
