seedling_id,height_cm,diameter_mm,leaf_count,chlorosis,notes
3589,9.1,5.1,9,,
3590,7.9,4.46,8,,
3591,11.5,3.17,10,,
3592,13.1,3.72,25,,
3593,6.6,5.19,10,,
3594,7.9,4.93,9,,
3597,11.2,5.7,12,,
3599,9,4.87,10,,
3600,9.4,5,20,,
3601,9.8,3.64,13,,
3603,6.1,5.05,17,,
3604,12.4,3.94,12,,
3605,9.4,3.67,15,,
3606,15.4,5.87,14,,
3608,5,3.8,13,,
3609,23.5,5.87,17,,
3611,10.2,3.53,11,,
3612,13,4.7,16,,
3613,14.6,4.63,14,,
3614,13.9,4.09,11,,
3615,12.9,4.71,11,,
3616,10.1,2.86,22,,
3617,8.4,4.53,10,,
3619,7.2,5.51,7,,
3620,12.3,4.65,13,,
3621,7,3.62,12,,
3622,12.2,5.06,9,,
3623,8.9,4.68,6,,
3626,8,3.32,10,,
3628,3.2,3.34,5,,
3629,12.1,5.24,7,,
3630,8.1,4.48,8,,
3638,6.6,3.82,8,,
3640,8.4,4.9,13,,
3641,11.1,4.41,9,,
3643,8.4,2.38,7,,
3645,7.3,4.76,11,,
3646,10.1,4.84,10,,
3650,6.8,3.88,6,,
3652,10.4,4.49,9,,
3653,9.2,3.58,7,,
3654,12.9,4.14,23,,
3655,9.4,4.32,10,,
3659,10,3.77,12,,
3662,17.1,4.52,17,,
3664,8.1,5.03,12,,
3665,7.5,4.16,11,,
3678,6.6,4.01,10,,
3679,6.3,4.3,5,,
3680,5.1,4.2,9,,
3683,12.9,4.63,14,,
3684,13.9,4.8,13,,
3688,3.7,3.7,4,,
3693,6.6,4.52,10,,
3695,10.1,3.58,13,,
3696,20.1,4.67,16,,
3697,15.2,4.83,10,,
3700,18,4.97,14,,
3701,10.8,3.97,11,,
3704,4.3,4.35,11,,
3705,8.5,3.92,9,,
3708,14.9,3.95,12,,
3709,6,4.36,8,,
3711,21.8,5.22,12,,
3714,11.2,4.1,14,,
3715,6.7,4.52,8,,
3718,4.3,3.74,7,,
3868,6.2,4.64,10,,
3963,5.5,3.4,9,,
3964,4.9,4.43,9,,
3967,5.5,5.26,8,,
3969,8.4,3.68,12,,
3970,9,3.78,12,,
3972,4,4.33,6,,
3973,6.2,5.62,10,,
3974,9.9,3.4,13,,
3977,5,2.75,6,,
3980,11.9,6.14,14,,
3982,7.5,4.61,11,,
3985,12,4.45,10,,
3986,5.4,4.31,7,,
3987,11.5,4.53,13,,
3991,6,4.22,9,,
3992,6.8,4.35,12,,
3993,6.6,4.44,9,,
3994,20.4,4.25,15,,
3995,5.4,4.14,7,,
3997,4.4,4.28,8,,
3998,3.8,2.79,9,,
3999,6,3.62,12,,
4000,6.7,4.6,8,,
4001,10.9,4.66,17,,
4002,10.7,4.07,19,,
4004,18.5,4.48,12,,
4005,12.2,3.85,8,,
4007,6.5,4.08,7,,
4008,4.2,3.2,4,,
4010,3.6,3.94,7,,
4011,4.6,4.54,12,,
4013,7.1,3.8,10,,
4014,5.2,3.85,8,,
4015,15.8,5.21,12,,
4017,4.9,4.32,9,,
4018,4.1,3.18,6,,
4019,9.9,3.92,9,,
4020,3.8,3.55,14,,
4021,6.8,4.8,9,,
4022,6.8,2.65,13,,
4024,2.9,2.54,6,,
4025,13.3,4.83,14,,
4026,5.3,3.52,7,,
4027,5,3.22,13,,
4028,8.9,5.43,9,,
4029,3.8,3.43,5,,
4030,5.3,4.44,13,,
4031,7.3,4.5,9,,
4032,12.4,5.36,23,,
4033,6,5.38,9,,
4034,13.1,5.01,17,,
4035,7,4.04,8,,
4036,5,3.95,11,,
4037,5.6,3.84,8,,
4038,6.9,3.81,10,,
4040,7,3.42,8,,
4041,8.1,4.11,13,,
4042,10.3,4.47,11,,
4043,5,3.17,9,,
4044,16.3,5.76,15,,
4046,6.9,3.55,9,,
4047,8.6,4.52,11,,
4054,10.2,4.43,12,,
4055,7.9,4.32,18,,
4056,6.5,5.21,8,,
4060,8,5.01,19,,
4061,8,3.25,11,,
4062,20.9,4.12,20,,
4063,4,3.7,9,,
4066,6.1,3.12,11,,
