pot,seedling_1,seedling_2
211178,4011,4308
211179,3828,4205
211180,3536,4036
211181,4404,3566
211182,3563,4152
211183,4426,3665
211184,3626,3629
211185,3474,3433
211186,3473,3773
211187,4277,3901
211188,3254,4253
211189,4321,4035
211190,3498,3835
211191,3250,3438
211192,3440,3854
211193,4323,3517
211194,3016,3130
211195,4117,3843
211196,3335,3905
211197,4047,4419
211198,4145,4212
211199,3999,3860
211200,4394,4043
211201,3724,3742
211202,3007,4139
211203,3425,3852
211204,3888,3785
211205,3107,4041
211206,3612,3827
211207,4311,3327
211208,3265,4344
211209,3880,4127
211210,4146,3531
211211,4297,3128
211212,4330,4019
211213,3120,3664
211214,3334,3331
211215,4221,3549
211216,3056,3987
211217,3834,4397
211218,3616,3840
211219,3833,3278
211220,3554,3018
211221,3879,3541
211222,3592,3617
211223,3855,4001
211224,4063,4379
211225,4067,4370
211226,3184,3545
211227,4120,4042
211228,3589,4140
211229,3587,3837
211230,3582,4416
211231,3590,4021
211232,3325,3333
211233,3893,3556
211234,3576,4329
211235,3328,3727
211236,3077,3611
211237,4018,3524
211238,3812,3513
211239,3722,4240
211240,3042,4017
211241,3845,3484
211242,4038,3547
211243,3542,3844
211244,3076,3055
211245,3383,4407
211246,3640,3599
211247,4307,3387
211248,3591,4403
211249,3783,4309
211250,3135,3132
211251,4415,4328
211252,4109,3821
211253,4031,4071
211254,3586,3876
211255,3584,4255
211256,4079,4280
211257,3188,4034
211258,3597,4386
211259,3605,4037
211260,4134,3824
211261,3141,3601
211262,4033,4025
211263,4315,3890
211264,4024,3544
211265,4293,3272
211266,4148,3058
211267,3281,3279
211268,4228,3532
211269,4151,4147
211270,4291,4290
211271,3891,3349
211272,4289,3337
211273,4026,3760
211274,4030,4149
211275,4087,3594
211276,4310,4305
211277,3808,4222
211278,3804,4401
211279,4399,4227
211280,3377,4396
211281,3356,3813
211282,3096,3573
211283,3725,4254
211284,3052,3551
211285,4032,4326
211286,3051,3486
211287,3237,4124
211288,3095,4135
211289,3240,3067
211290,3877,4363
211291,3832,3858
211292,3847,4361
211293,3622,4010
211294,3850,4133
211295,3908,3324
211296,4373,3323
211297,4387,4353
211298,4422,3172
211299,4412,3426
211300,3613,3558
211301,4380,4105
211302,3148,4062
211303,3183,3574
211304,3151,3191
211305,3339,3898
211306,3746,3623
211307,4218,3723
211308,3378,3897
211309,3140,3620
211310,3767,4136
211311,3348,3359
211312,3167,3535
211313,4436,3361
211314,3998,4424
211315,3994,3533
211316,3369,3740
211317,4429,3615
211318,3736,3899
211319,4435,3364
211320,3614,4367
211321,3766,3731
211322,3619,3621
211323,4378,4089
211324,3358,3379
211325,3825,3338
211326,3856,4013
211327,3755,3577
211328,4122,3737
211329,3189,3565
211330,4123,3894
211331,3570,3562
211332,4086,4209
211333,4044,3197
211334,3769,3382
211335,3381,3883
211336,3181,3550
211337,3186,3645
211344,4015,3581
211345,4020,3158
211346,3900,3434
211347,3609,3606
