seedling_id,height_cm,additional_height,diameter_mm,chlorosis,leaf_count,
3483,7.7,0,3.1,,4,
3785,10.8,17,2.9,5,,
3777,9.5,15,2.1,5,,
3280,6.2,4,1.9,2,,
4400,9.4,8,2.4,5,,
3799,11.8,13,2.9,5,,
3679,5.7,0,4,,5,
3752,11.6,6.5,2.7,5,,
3739,6.7,5,1.6,0,,dead
3151,10.9,0,3.8,,18,
3191,6.7,2,4,,3,
3849,8.8,19,2.9,5,,
3817,7.2,7,2.3,4,,
4378,7.4,8.5,2.2,5,,
4089,11.1,9,3,,25,
3825,7.4,17,2.6,4,,
3338,8.2,16,2.6,5,,
3856,10,13,2.2,0,,
4013,8.6,9,3.3,,13,
3640,11.9,0,4.5,,20,
3599,10,4,6,,10,
4367,7.6,9,2.2,4,,
3614,13.4,0,3.5,,9,
4410,10.5,20,2.8,5,,
3261,6.1,11,1.9,4,,
3327,2.9,0,1,0,,dead
4311,9.9,19,2.3,0,,dead
3619,9.7,0,3.4,,13,
3621,6.9,0,3,,10,
4379,8.9,11,2.5,4,,
4063,5.5,5,6.5,,47,
3269,4.8,0,2,0,,
3270,6.8,0,2,0,,
3251,5.5,0,1.6,0,,
3872,8,14.5,2.2,2,,
3007,7,4,3.8,,19,
4139,8,2.7,4.7,,9,
4157,7.2,4,5,,7,
4004,19.8,2,4.7,,9,
3589,10.7,0,4.4,,14,
4140,13.5,2.5,4.5,,4,
3880,8.5,11.5,3,4,,
4127,23.3,9.5,6.8,,30,
4019,12,0,4.5,,12,
4330,9,18.2,2.5,2,,
3613,15,0,4.6,,8,
3558,11,4,4.2,,3,
3597,10.5,17.5,7.1,,15,
4386,11.6,24,3,4,,
4415,8,20,3,5,,
4328,6.2,7.6,1.1,0,,
3055,12.5,5.5,7,,5,
3076,6,0,5,,5,
3051,8,7,5.7,,7,
3486,14.1,4,3.6,,13,
3264,9.5,7.5,2.3,5,,
4262,8.2,20,3.2,5,,
3331,4.5,0,1.1,0,,
3334,4,0,1.8,0,,
3890,10,14,2.6,4,,
4315,8.2,22.2,2.6,5,,
3188,8,0,4,,11,
4034,14,2,5.6,,10,
3789,7.6,13,2.7,5,,
3779,9.5,20,3,5,,
4033,11.5,0,5.2,,15,
4025,14,0,4.5,,12,
4230,13,10,3,4,,
3701,13,3,4.1,,20,
4320,9.5,12,2.7,5,,
4162,10.5,2,5.2,,19,
3276,8.5,20,2.7,5,,
4324,8,3.5,1.3,0,,
3570,14.2,39.5,3.9,,67,
3562,7.4,19,3.7,,33,
4429,8,8,2.2,4,,
3615,11.8,0,3.4,,7,
4230,13.9,8,2.6,4,,
3701,15.6,4,3.9,,19,
4320,9.3,13,2.6,5,,
4162,10.6,2,4.2,,20,
3188,7.4,0,3.4,,11,
4034,13.9,4.5,5.6,,6,
3789,8.6,10.5,2.8,5,,
3779,8.8,16,3.4,5,,
4033,11.4,0,4.3,,15,
4025,14,4.5,4.9,,12,
3331,3.7,0,1.4,0,,
3334,3.6,0,1.7,0,,
3890,8.2,19,2.8,4,,
4315,8.4,21,3,4,,
3055,12.1,6.5,7.7,,5,
3076,6.4,0,7.5,,5,
3051,7.9,7.5,5,,7,
3486,14.7,3.5,3.9,,13,
3264,9.7,7,1.9,5,,
4262,7.6,20,3.2,5,,
3597,13.7,19,6.8,,14,
4386,11.5,26,2.8,5,,
4415,8.4,27,3.1,5,,
4328,6.3,6,1.1,0,,
3880,7.6,13,2.5,5,,
4127,22.5,18,7,,30,
4019,13.1,1,3.6,,12,
4330,8.6,20,2.7,,,
3613,15.4,0,3.6,,9,
