seedling_id,seedling sp.,soil type,dead,diameter_mm,height_cm,stem_2_diameter_mm,stem_2_height_cm,notes,observer,date,timepoint
3431,P,C,,,,,,bg,,7/17,1
3409,P,C,,,,,,bg,,7/17,1
3400,P,C,,1.88,3.8,,,,,7/17,1
3408,P,C,,,,,,bg,,7/17,1
3406,P,C,,1.58,1.9,,,,,7/17,1
3420,P,C,,,,,,bg,,7/17,1
3401,P,C,,,,,,bg,,7/17,1
3429,P,C,,,,,,bg,,7/17,1
3432,P,C,,,,,,bg,,7/17,1
3410,P,C,,1.23,3.5,,,,,7/17,1
3411,P,C,,,,,,bg,,7/17,1
3417,P,C,X,,,,,,,7/17,1
3413,P,C,,,,,,bg,,7/17,1
3421,P,C,,,,,,bg,,7/17,1
3402,P,C,,,,,,bg,,7/17,1
3391,P,C,,,,,,bg,,7/17,1
3430,P,C,,,,,,bg,,7/17,1
3305,P,C,,1.61,2.6,,,,,7/17,1
3290,P,C,,1.76,4.2,,,,,7/17,1
3321,P,C,,1.54,2.7,,,,,7/17,1
3311,P,C,,1.67,3.3,,,,,7/17,1
3314,P,C,,1.7,3.3,,,,,7/17,1
3322,P,C,,1.88,3.3,,,,,7/17,1
3323,P,C,,1.82,3.1,,,,,7/17,1
3327,P,C,,1.57,2.6,,,,,7/17,1
3289,P,C,,1.79,3.1,,,,,7/17,1
3293,P,C,,1.76,2.3,,,,,7/17,1
3292,P,C,,1.85,3.2,,,,,7/17,1
3309,P,C,,1.77,2.6,,,,,7/17,1
3300,P,C,,1.95,3.9,,,,,7/17,1
3318,P,C,,1.79,3.7,,,,,7/17,1
3324,P,C,,1.77,3.5,,,,,7/17,1
3329,P,C,,,,,,bg,,7/17,1
3295,P,C,,1.77,2.4,,,,,7/17,1
3296,P,C,,1.8,4.2,,,,,7/17,1
3291,P,C,,2.1,3.9,,,,,7/17,1
3304,P,C,,1.76,3.9,,,,,7/17,1
3303,P,C,,1.83,4.2,,,,,7/17,1
3319,P,C,,1.75,4.2,,,,,7/17,1
3325,P,C,,1.84,4.2,,,,,7/17,1
3331,P,C,,1.71,3.4,,,,,7/17,1
3315,P,C,,1.49,3.7,,,,,7/17,1
3313,P,C,,1.89,3.7,,,,,7/17,1
3312,P,C,,1.89,3.8,,,,,7/17,1
3301,P,C,,1.52,3,,,,,7/17,1
3317,P,C,,1.43,2.4,,,,,7/17,1
3326,P,C,,1.78,3,,,,,7/17,1
3328,P,C,,1.82,3.8,,,,,7/17,1
3334,P,C,,1.83,2.7,,,,,7/17,1
3308,P,C,,1.82,3.6,,,,,7/17,1
3302,P,C,,1.61,3.9,,,,,7/17,1
3299,P,C,,1.85,2.7,,,,,7/17,1
3298,P,C,,1.71,5.3,,,,,7/17,1
3320,P,C,,1.9,5,,,,,7/17,1
3316,P,C,,1.63,4.9,,,,,7/17,1
3330,P,C,,2.01,4.2,,,,,7/17,1
3333,P,C,,1.76,2.8,,,,,7/17,1
3310,P,C,,1.59,3.7,,,,,7/17,1
3294,P,C,,1.49,2.3,,,,,7/17,1
3297,P,C,,1.73,3.8,,,,,7/17,1
3332,P,C,,1.82,3.7,,,,,7/17,1
3306,P,C,,1.65,4.1,,,,,7/17,1
3307,P,C,,1.53,4,,,,,7/17,1
3336,P,C,,1.81,3.9,,,,,7/17,1
3335,P,C,,1.71,4,,,,,7/17,1
3283,P,C,,1.43,3.5,,,,,7/17,1
3280,P,C,,,,,,bg,,7/17,1
3272,P,C,,1.7,3.9,,,,,7/17,1
3262,P,C,,1.72,3.5,,,,,7/17,1
3256,P,C,,1.79,3.4,,,,,7/17,1
3253,P,C,,1.82,3.9,,,,,7/17,1
3247,P,C,,2.13,3.6,,,,,7/17,1
3248,P,C,,1.58,3.4,,,,,7/17,1
3285,P,C,,1.59,3.7,,,,,7/17,1
3282,P,C,,1.84,3.9,,,,,7/17,1
3265,P,C,,1.64,3.3,,,,,7/17,1
3273,P,C,,1.87,4.6,,,,,7/17,1
3257,P,C,,,,,,bg,,7/17,1
3254,P,C,,1.78,2.9,,,,,7/17,1
3250,P,C,,2.18,3.6,,,,,7/17,1
3249,P,C,,1.76,3.6,,,,,7/17,1
3284,P,C,,1.94,4,,,,,7/17,1
3279,P,C,,1.67,3.8,,,,,7/17,1
3268,P,C,,1.65,4.2,,,,,7/17,1
3271,P,C,,1.73,2.6,,,,,7/17,1
3261,P,C,,1.73,2.9,,,,,7/17,1
3258,P,C,,1.88,3.8,,,,,7/17,1
3243,P,C,,1.57,3.9,,,,,7/17,1
3242,P,C,,1.69,3.5,,,,,7/17,1
3287,P,C,X,,,,,,,7/17,1
