plant_ID,compartment,mass,
3782,M,0.028,
3002,H,0.091,
3760,M,0.043,
3760,H,0.169,
3628,H,0.063,
3496,H,0.032,
3496,M,0.005,
4069,H,0.061,
3102,H,0.054,
3774,H,0.07,
3774,M,0.016,
4139,M,0.003,
4139,H,0.03,
4157,M,0.015,
4157,H,0.044,
3110,H,0.142,
3110,M,0.032,
3000,H,0.138,
4004,M,0.006,
4004,H,0.045,
3772,H,0.074,
3772,M,0.019,
3136,H,0.13,
3377,H,0.016,
3377,M,0.007,
4029,H,0.073,
4318,M,0.018,
4318,H,0.065,
3725,M,0.028,
3725,H,0.096,
3005,H,0.092,
4021,H,0.031,
4021,M,0.017,
3767,H,0.061,
3767,M,0.013,
4083,H,0.011,
4083,M,0.051,
3736,H,0.021,
3736,M,0.018,
4405,H,0.084,
4405,M,0.019,
4254,H,0.032,
4254,M,0.025,
3051,M,0.03,
3711,H,0.151,
3486,H,0.062,
4033,H,0.113,
3264,H,0.048,
3264,M,0.009,
3245,H,0.04,
3245,M,0.009,
3965,H,0.079,
3965,M,0.014,
4014,H,0.063,
3899,H,0.069,
3899,M,0.025,
4378,H,0.109,
4378,M,0.029,
4896,H,0.082,
4896,M,0.025,
3933,H,0.051,
3933,M,0.013,
3275,H,0.032,
3275,M,0.01,
3799,H,0.117,
3799,M,0.028,
3693,H,0.146,
3967,H,0.07,
3982,H,0.044,
3982,M,0.016,
4063,H,0.013,
4063,M,0.01,
4410,H,0.053,
4410,M,0.016,
3825,M,0.013,
3825,H,0.063,
4243,M,0.013,
4243,H,0.046,
3679,H,0.089,
3779,H,0.092,
3779,M,0.021,
4070,H,0.07,
3387,H,0.133,
3387,M,0.049,
4315,M,0.019,
4315,H,0.077,
3890,H,0.063,
3890,M,0.022,
3789,H,0.037,
3789,M,0.006,
3117,H,0.081,
3936,H,0.038,
3936,M,0.011,
4307,M,0.022,
4307,H,0.065,
3785,H,0.124,
3785,M,0.02,
4410,G,0.075,
4410,P,0.017,
3614,H,0.099,
3837,H,0.047,
3837,M,0.015,
3544,G,0.104,
4367,H,0.059,
4367,M,0.013,
3777,H,0.069,
3777,M,0.015,
3973,H,0.096,
4089,H,0.108,
4089,M,0.028,
3051,H,0.07,
4061,H,0.029,
3590,H,0.098,
3590,M,0.012,
4254,G,0.032,
4254,P,0.017,
3899,G,0.03,
3899,P,0.004,
4318,G,0.1,
4318,P,0.029,
3665,H,0.097,
3590,G,0.075,
3261,H,0.074,
3261,M,0.013,
4426,H,0.05,
4426,M,0.025,
3338,H,0.098,
3338,M,0.019,
3840,P,0.017,
3840,G,0.082,
4015,G,0.12,
4082,G,0.088,
3974,G,0.013,
3974,P,0.004,
4341,P,0.031,
4341,G,0.119,
3732,G,0.042,
3732,P,0.015,
3117,G,0.105,
3936,G,0.037,
3936,P,0.006,
3592,G,0.093,
3569,G,0.078,
3655,G,0.065,
3043,G,0.066,
4227,F,0.299,
4399,F,0.061,
3385,F,0.15,
3793,F,0.259,
4274,F,0.11,
3795,F,0.288,
3918,F,0.487,
4005,F,0.271,
4205,F,0.528,
3266,F,0.176,
3012,F,0.015,
4165,F,0.081,
3629,F,0.77,
3539,F,0.485,
3828,F,0.251,
3626,F,0.503,
3630,F,0.145,
4283,F,0.61,
4276,F,0.822,
3810,F,0.032,
3508,F,0.35,
3504,F,0.335,
3883,G,0.083,
3385,M,0.046,
3167,H,0.108,
3502,H,0.035,
4289,P,0.018,
3502,G,0.047,
3778,G,0.07,
3723,P,0.013,
3746,G,0.021,
3746,P,0.011,
3839,G,0.137,
3839,P,0.039,
4322,G,0.076,
4322,P,0.012,
4327,G,0.072,
4327,P,0.018,
4008,G,0.087,
3119,G,0.053,
3119,P,0.012,
3638,G,0.09,
4185,M,0.032,
4185,H,0.144,
3854,H,0.035,
3854,M,0.013,
3780,H,0.066,
3780,M,0.03,
3556,G,0.109,
4323,G,0.17,
4323,P,0.04,
4407,G,0.084,
4407,P,0.028,
4373,G,0.061,
4373,P,0.015,
4046,G,0.068,
3255,G,0.062,
3255,P,0.011,
3885,H,0.077,
3885,M,0.025,
4002,G,0.104,
3129,A,0.676,
3917,A,0.068,
3056,A,0.352,
3567,A,0.309,
4205,A,0.366,
3828,A,0.344,
3918,A,0.252,
3539,A,0.656,
4283,A,0.4,
3266,A,0.164,
3012,A,0.335,
4165,A,0.59,
3629,A,0.786,
3626,A,0.386,
3630,A,0.592,
3801,A,0.138,
4276,A,0.548,
3508,A,0.689,
4005,A,0.494,
3504,A,0.727,
3862,A,0.227,
3415,A,0.06,
3731,A,0.33,
3766,A,0.248,
3260,A,0.155,
4400,A,0.338,
4043,A,0.226,
3434,A,0.102,
3897,A,0.166,
3378,A,0.168,
3873,A,0.482,
4145,A,0.769,
4212,A,0.267,
4392,A,0.491,
3896,A,0.1,
4310,A,0.172,
3852,A,0.346,
3425,A,0.089,
4398,A,0.662,
3241,A,0.139,
3938,A,0.371,
3382,A,0.115,
3273,A,0.075,
4162,A,0.63,
3764,A,0.206,
3426,A,0.067,
4388,A,0.09,
3755,A,0.354,
4136,A,0.635,
4424,A,0.07,
3998,A,0.436,
4335,A,0.145,
3542,A,0.514,
3613,A,0.703,
4123,A,0.646,
3549,A,0.755,
3558,A,0.898,
4221,A,0.272,
4415,A,0.459,
4328,A,0.057,
3519,A,0.443,
4095,A,0.576,
3095,A,1.09,
4135,A,0.293,
4183,A,0.61,
3361,A,0.138,
3958,A,0.261,
4436,A,0.243,
3915,A,0.393,
4086,A,0.768,
3734,A,0.484,
4209,A,0.157,
3845,A,0.428,
3894,A,0.156,
3484,A,0.347,
3844,A,0.439,
3563,A,0.169,
4386,A,0.506,
4127,A,1.521,
4071,A,0.73,
4192,A,0.293,
3880,A,0.228,
4031,A,0.346,
3943,A,0.195,
4309,A,0.145,
3783,A,0.344,
3011,A,0.561,
3027,A,0.586,
3959,A,0.293,
4233,A,0.104,
3244,A,0.201,
3554,A,0.526,
3018,A,0.315,
4312,A,0.187,
3597,A,0.654,
3553,A,0.292,
4152,A,0.888,
4422,A,0.292,
3172,A,0.358,
4281,A,0.452,
3390,A,0.316,
4096,A,0.332,
3109,A,0.246,
4008,A,0.608,
4227,A,0.353,
3385,A,0.19,
4274,A,0.187,
4260,A,0.371,
3885,A,0.288,
4316,A,0.262,
3494,A,0.315,
3795,A,0.415,
3793,A,0.222,
4341,A,0.477,
4391,A,0.315,
3813,A,0.11,
3356,A,0.078,
4404,A,0.208,
3566,A,0.836,
4317,A,0.417,
3638,A,0.622,
4253,A,0.119,
3704,A,0.661,
4170,A,0.404,
4319,A,0.352,
3058,A,0.16,
4148,A,0.465,
4286,A,0.147,
3124,A,0.681,
4044,A,1.188,
3697,A,0.89,
3016,A,0.475,
3756,A,0.289,
4099,A,0.37,
3506,A,0.682,
3879,A,0.215,
3803,A,0.357,
3364,B,1.809,
4167,A,0.457,
4066,A,1.045,
3423,B,0.367,
3482,A,0.21,
4158,A,0.293,
3987,A,0.366,
4060,A,0.764,
4276,A,0.557,
3266,A,0.162,
4283,A,0.401,
3197,A,1.255,
3997,A,0.512,
3731,A,0.332,
3508,A,0.693,
3862,A,0.229,
4005,A,0.497,
3630,A,0.597,
4165,A,0.594,
3012,A,0.336,
3539,A,0.659,
3828,A,0.348,
3567,A,0.31,
3056,A,0.354,
3917,A,0.069,
3810,A,0.138,
3626,A,0.387,
3629,A,0.792,
4205,A,0.37,
3129,A,0.681,
4147,A,0.789,
3771,A,0.164,
3918,A,0.255,
3130,A,0.917,
4280,B,1.922,
3700,A,0.867,
3787,A,0.169,
