cluster,3053root1,3053soil1,3070soil1,3091root1,3094soil1,3098root1,3217root1,3218soil1,3221root1,3221root2,3221soil1,3290root1,3290soil1,3293root1,3293soil1,3300root1,3300soil1,3303root1,3303soil1,3309root1,3309soil1,3311root1,3311soil1,3314root1,3314soil1,3318root1,3318root2,3318soil1,3319root1,3319soil1,3322root1,3322root2,3322soil1,3487soil1,3492root1,3548root1,3548root2,3548soil1,3579root1,3579soil1,3604soil1,3608root1,3608soil1,3641root1,3641root2,3641soil1,3652root1,3678root1,3765root1,3765soil1,3811root1,3811root2,3811soil1,3864root1,3864root2,3864soil1,3866root1,3866soil1,3870root1,3870soil1,3875root1,3875soil1,3886root1,3886soil1,3892root1,3892soil1,3909soil1,3910root1,3910soil1,4022root1,4022soil1,4028soil1,4040soil1,4084root1,4125root1,4125soil1,4126root1,4128root1,4128soil1,4171root1,4171root2,4171soil1,4173root1,4173soil1,4179root1,4201root1,4201soil1,4202root1,4202soil1,4208root1,4208root2,4216root1,4216soil1,4234root1,4234soil1,4244root1,4244soil1,4283root1,4348root1,4348soil1,4377root1,4377soil1,4383root1,4383soil1,4418root1,4418soil1,control1soil1,control2soil1,controlroot1,positive1root1
OTU32,0,0,0,4,0,0,3,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,159,0,72,0,6,43,0,0,0,8,0,0,19,0,0,0,0,181,236,0,3,0,0,0,0,14,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908,0,0,11,2137,1325,0,1886,43,35,2122,1414,5,986,171,1766,400,0,0,0,0,240,0,0,0,0,0,0,8,0,0,0,0,0,0,27,0,0,0,0,57
OTU33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,24,0,0,37,3,101,0,0,54,0,0,0,19,0,0,42,0,0,16,0,0,0,0,35,9,0,43,0,34,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
OTU34,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU35,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,18,79,0,0,27,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
OTU36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,127,0,9,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,80,0,0,0,13,0,72,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,19,0,96,0,0,0,0,0,0,15,0,25,0,0,0,0,0,0,0
OTU38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0
OTU39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU40,483,0,184,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,22,24,0,0,0,18,14,0,0,23,0,0,20,0,157,0,0,0,0,0,10,0,0,0,0,0,0,58,0,30,8,0,0,0,242,7,23,0,0,0,116,0,14,4,0,102,0,0,0,23,0,30,0,14,49,0,0,0,0,0,0,0,0,0,33,45,0,0,0,0,0,0
OTU41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,4,0,0,0,0,0,0,0,0,16,0,0,0,0,67,57,0,12,0,67,20,0,15,46,57,28,81,268,66,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,42,34,55,37,24,0,0,9,15,7,14,18,6,4,16,14,0,0,36,0,1084,701,285,38,121,3,337,18,36,764,15,3,12,636,4,0,31,0,0,0,0
