Pot ID,Drought or control,Moisture,Date
211098,D ,8,09282022
211187,D ,9,09282022
211285,D ,7,09282022
211077,D ,7,09282022
211316,D ,13,09282022
211291,D ,10,09282022
211031,D ,7,09282022
211328,D ,19,09282022
211116,D ,11,09282022
211222,D ,10,09282022
211121,D ,7,09282022
211170,D ,7,09282022
211267,D ,10,09282022
211139,D ,7,09282022
211230,D ,7,09282022
211345,D ,10,09282022
211018,D ,9,09282022
211321,D ,7,09282022
211138,D ,7,09282022
211133,D ,7,09282022
211107,D ,9,09282022
211203,D ,7,09282022
211293,D ,8,09282022
211174,D ,19,09282022
211221,D ,9,09282022
211020,D ,7,09282022
211313,D ,7,09282022
211296,D ,8,09282022
211137,D ,9,09282022
211185,D ,11,09282022
211001,D ,11,09282022
211044,D ,8,09282022
211332,D ,7,09282022
211017,D ,8,09282022
211297,D ,7,09282022
211144,D ,8,09282022
211302,D ,7,09282022
211067,D ,8,09282022
211224,C,11,10032022
211322,C,11,10032022
211207,C,11,10032022
211320,C,12,10032022
211149,C,12,10032022
211246,C,14,10032022
211326,C,11,10032022
211151,C,15,10032022
211323,C,13,10032022
211325,C,14,10032022
211102,C,14,10032022
211304,C,14,10032022
211204,C,14,10032022
211124,C,19,10032022
211034,C,14,10032022
211166,C,10,10032022
211103,C,16,10032022
211153,C,18,10032022
211148,C,15,10032022
211115,C,15,10032022
211075,C,14,10032022
211229,C,15,10032022
211245,C,23,10032022
211196,C,13,10032022
211250,C,14,10032022
211256,C,14,10032022
211265,C,15,10032022
211036,C,16,10032022
211268,C,13,10032022
211255,C,14,10032022
211191,C,16,10032022
211188,C,18,10032022
211279,C,20,10032022
211294,C,20,10032022
211184,C,13,10032022
211306,C,15,10032022
211215,C,16,10032022
211136,C,17,10032022
211243,C,12,10032022
211139,C,13,10032022
211066,C,19,10032022
211307,C,14,10032022
211288,C,20,10032022
211163,C,12,10032022
211199,C,13,10032022
211319,C,20,10032022
211236,C,16,10032022
211172,C,15,10032022
211053,C,15,10032022
211060,C,28,10032022
211232,C,22,10032022
211105,C,26,10032022
211019,C,14,10032022
211038,C,15,10032022
211052,C,17,10032022
211134,C,15,10032022
211039,C,16,10032022
211095,C,10,10032022
211154,C,16,10032022
211234,C,11,10032022
211240,C,17,10032022
211311,C,17,10032022
211210,C,13,10032022
211281,C,18,10032022
211004,C,20,10032022
211175,C,15,10032022
211008,C,17,10032022
211064,C,11,10032022
211303,C,16,10032022
211173,C,14,10032022
211069,C,21,10032022
211336,C,17,10032022
211033,C,15,10032022
211205,C,10,10032022
211030,C,16,10032022
211194,C,26,10032022
211347,C,11,10032022
211068,C,10,10032022
211270,C,13,10032022
211091,C,16,10032022
211046,C,13,10032022
211015,C,14,10032022
211058,C,16,10032022
211335,C,16,10032022
211298,C,19,10032022
211097,C,16,10032022
211120,C,15,10032022
211231,C,22,10032022
211150,C,12,10032022
211186,C,21,10032022
211183,C,18,10032022
211118,C,20,10032022
211048,C,20,10032022
211078,C,18,10032022
211318,C,16,10032022
211284,C,23,10032022
211090,C,13,10032022
211073,C,16,10032022
211050,C,18,10032022
211108,C,16,10032022
211076,C,17,10032022
211260,C,14,10032022
211242,C,19,10032022
211283,C,15,10032022
211299,C,13,10032022
211035,C,18,10032022
211087,C,24,10032022
211013,C,19,10032022
211217,C,21,10032022
211197,C,13,10032022
211200,C,9,10032022
211264,C,21,10032022
211152,C,15,10032022
211065,C,19,10032022
211280,C,21,10032022
211088,C,17,10032022
211190,C,16,10032022
211266,C,18,10032022
211301,C,21,10032022
211277,C,11,10032022
211238,C,7,10032022
211158,C,19,10032022
211047,C,28,10032022
211122,C,15,10032022
211223,C,17,10032022
211180,C,19,10032022
211131,C,17,10032022
211093,C,24,10032022
211054,C,18,10032022
211269,C,19,10032022
211128,C,22,10032022
211179,C,17,10032022
211129,C,20,10032022
211006,C,27,10032022
211022,C,23,10032022
211104,C,9,10032022
211330,C,19,10032022
211178,C,12,10032022
211096,C,18,10032022
211021,C,14,10032022
211063,C,15,10032022
211109,C,18,10032022
211275,C,15,10032022
211009,C,28,10032022
211308,C,13,10032022
211112,C,15,10032022
211338,C,16,10032022
211161,C,20,10032022
211099,C,13,10032022
211111,C,13,10032022
211141,C,8,10032022
211165,C,20,10032022
211003,C,9,10032022
211333,C,12,10032022
211143,C,10,10032022
211312,C,16,10032022
211315,C,12,10032022
211051,C,19,10032022
211002,C,14,10032022
211253,C,18,10032022
211041,C,15,10032022
211218,C,9,10032022
211249,C,14,10032022
211220,C,15,10032022
211168,C,22,10032022
211123,C,9,10032022
211219,C,17,10032022
211005,C,8,10032022
211160,C,15,10032022
211037,D ,13,10032022
211344,D ,12,10032022
211135,D ,8,10032022
211062,D ,10,10032022
