Pot ID,Drought or control,Moisture,Moisture,Moisture,Moisture ,Moisture,Moisture,Moisture
211259,D ,11,6,7,7,,8,7
211070,D ,9,8,9,7,,7,7
211094,D ,7,6,7,7,,7,7
211132,D ,7,6,7,7,,7,7
211276,D ,7,7,7,7,,7,8
211092,D ,7,7,7,7,,7,8
211027,D ,7,9,7,7,,7,7
211226,D ,9,7,7,7,,7,8
211026,D ,7,7,8,11,,8,7
211043,D ,7,9,7,7,,7,8
211086,D ,8,8,9,9,,10,11
211254,D ,7,7,9,8,,7,9
211164,D ,7,7,9,7,,7,8
211292,D ,7,7,7,7,,7,8
211089,D ,7,7,7,7,,7,11
211247,D ,7,8,9,8,,8,7
211032,D ,7,7,7,7,,10,10
211195,D ,7,8,7,7,,7,8
211057,D ,7,7,9,8,,7,9
211273,D ,7,7,7,11,,8,7
211289,D ,6,7,7,7,,7,7
211274,D ,7,7,7,7,,7,7
211059,D ,8,8,9,11,,14,9
211145,D ,7,7,7,7,,7,8
211011,D ,7,7,7,7,,7,8
211100,D ,7,7,17,16,,15,16
211142,D ,8,8,9,8,,7,9
211146,D ,7,8,8,11,,9,8
211271,D ,7,8,8,7,,7,7
211049,D ,7,7,8,8,,8,9
211198,D ,7,7,7,7,,7,8
211329,D ,7,8,8,7,,7,7
211098,D ,7,7,8,7,,9,7
211187,D ,8,8,11,10,,8,8
211285,D ,6,8,7,7,,7,7
211077,D ,6,8,7,8,,7,8
211316,D ,7,7,12,12,,12,12
211291,D ,7,6,18,14,,12,13
211031,D ,7,6,8,7,,7,7
211328,D ,7,7,7,7,,7,7
211116,D ,13,13,17,18,,15,18
211222,D ,7,8,9,9,,7,8
211121,D ,7,8,8,8,,12,8
211170,D ,7,7,7,8,,8,7
211267,D ,7,9,8,10,,7,10
211139,D ,7,9,12,9,,8,8
211230,D ,8,8,8,8,,8,8
211342,D ,7,8,9,8,,8,9
211018,D ,8,8,11,11,,11,11
211321,D ,7,7,10,8,,8,8
211138,D ,7,7,9,8,,9,8
211133,D ,6,7,7,7,,7,7
211107,D ,9,11,18,17,,15,15
211203,D ,6,8,10,7,,8,7
211293,D ,8,8,9,8,,9,9
211174,D ,13,13,16,15,,17,16
211221,D ,10,11,12,12,,11,11
211020,D ,9,13,11,9,,8,8
211313,D ,7,7,8,7,,7,7
211296,D ,10,9,10,10,,9,10
211137,D ,7,7,10,9,,9,14
211185,D ,14,12,12,11,,9,12
211001,D ,11,13,12,17,,14,16
211044,D ,9,8,9,10,,8,11
211332,D ,8,7,7,7,,7,7
211017,D ,8,8,9,8,,9,8
211297,D ,7,7,7,8,,8,7
211144,D ,8,8,8,9,,10,8
211302,D ,7,7,9,9,,10,8
211067,D ,7,7,8,9,,7,9
