[Header],,,
FileVersion,1,,
LibraryPrepKit,Nextera XT,,
ContainerType,Plate96,,
ContainerID,,,
Notes,,,
,,,
,,,
[Data],,,
SampleID,NucleicAcid,Index1Name,Index2Name
4179G,DNA amplicon,N709,S507
4179H,DNA amplicon,N709,S508
4181A,DNA amplicon,N710,S501
4181B,DNA amplicon,N710,S502
4181C,DNA amplicon,N710,S503
4181D,DNA amplicon,N710,S504
4181E,DNA amplicon,N710,S505
4181F,DNA amplicon,N710,S506
4181G,DNA amplicon,N710,S507
4181H,DNA amplicon,N710,S508
4171A,DNA amplicon,N711,S501
4171B,DNA amplicon,N711,S502
4171C,DNA amplicon,N711,S503
4171D,DNA amplicon,N711,S504
4171E,DNA amplicon,N711,S505
4171F,DNA amplicon,N711,S506
4171G,DNA amplicon,N711,S507
4171H,DNA amplicon,N711,S508
4084A,DNA amplicon,N712,S501
4084B,DNA amplicon,N712,S502
4084C,DNA amplicon,N712,S503
4084D,DNA amplicon,N712,S504
3492E,DNA amplicon,N712,S505
4084F,DNA amplicon,N712,S506
4084G,DNA amplicon,N712,S507
3492H,DNA amplicon,N712,S508
3053A,DNA amplicon,N714,S510
3053B,DNA amplicon,N714,S511
3053C,DNA amplicon,N714,S513
3053D,DNA amplicon,N714,S515
3053E,DNA amplicon,N714,S516
3053F,DNA amplicon,N714,S517
3053G,DNA amplicon,N714,S218
3053H,DNA amplicon,N714,S520
3218A,DNA amplicon,N715,S510
3218B,DNA amplicon,N715,S511
3218C,DNA amplicon,N715,S513
3218D,DNA amplicon,N715,S515
3218E,DNA amplicon,N715,S516
3218F,DNA amplicon,N715,S517
3218G,DNA amplicon,N715,S218
3218H,DNA amplicon,N715,S520
3091A,DNA amplicon,N716,S510
3091B,DNA amplicon,N716,S511
3091C,DNA amplicon,N716,S513
3091D,DNA amplicon,N716,S515
3091E,DNA amplicon,N716,S516
3091F,DNA amplicon,N716,S517
3091G,DNA amplicon,N716,S218
3091H,DNA amplicon,N716,S520
3098A,DNA amplicon,N718,S510
3098B,DNA amplicon,N718,S511
3098C,DNA amplicon,N718,S513
3098D,DNA amplicon,N718,S515
3098E,DNA amplicon,N718,S516
3098F,DNA amplicon,N718,S517
3098G,DNA amplicon,N718,S218
3098H,DNA amplicon,N718,S520
3070A,DNA amplicon,N719,S510
3070B,DNA amplicon,N719,S511
3070C,DNA amplicon,N719,S513
3070D,DNA amplicon,N719,S515
3070E,DNA amplicon,N719,S516
3070F,DNA amplicon,N719,S517
3070G,DNA amplicon,N719,S218
3070H,DNA amplicon,N719,S520
3217A,DNA amplicon,N720,S510
3217B,DNA amplicon,N720,S511
3217C,DNA amplicon,N720,S513
3217D,DNA amplicon,N720,S515
3217E,DNA amplicon,N720,S516
3217F,DNA amplicon,N720,S517
3217G,DNA amplicon,N720,S218
3217H,DNA amplicon,N720,S520
3221A,DNA amplicon,N721,S510
3221B,DNA amplicon,N721,S511
3221C,DNA amplicon,N721,S513
3221D,DNA amplicon,N721,S515
3221E,DNA amplicon,N721,S516
3221F,DNA amplicon,N721,S517
3221G,DNA amplicon,N721,S218
3221H,DNA amplicon,N721,S520
4216A,DNA amplicon,N722,S510
4216B,DNA amplicon,N722,S511
4216C,DNA amplicon,N722,S513
4216D,DNA amplicon,N722,S515
4216E,DNA amplicon,N722,S516
4216F,DNA amplicon,N722,S517
4216G,DNA amplicon,N722,S218
4216H,DNA amplicon,N722,S520
4208A,DNA amplicon,N723,S510
4208B,DNA amplicon,N723,S511
4208C,DNA amplicon,N723,S513
4208D,DNA amplicon,N723,S515
4208E,DNA amplicon,N723,S516
4208F,DNA amplicon,N723,S517
4208G,DNA amplicon,N723,S218
4208H,DNA amplicon,N723,S520
4418A,DNA amplicon,N724,S510
4418B,DNA amplicon,N724,S511
4418C,DNA amplicon,N724,S513
4418D,DNA amplicon,N724,S515
4418E,DNA amplicon,N724,S516
4418F,DNA amplicon,N724,S517
4418G,DNA amplicon,N724,S218
4418H,DNA amplicon,N724,S520
4383A,DNA amplicon,N726,S510
4383C,DNA amplicon,N726,S513
4383D,DNA amplicon,N726,S515
4383E,DNA amplicon,N726,S516
4383F,DNA amplicon,N726,S517
4383G,DNA amplicon,N726,S218
4383H,DNA amplicon,N726,S520
4348A,DNA amplicon,N727,S510
4348B,DNA amplicon,N727,S511
4348C,DNA amplicon,N727,S513
4348D,DNA amplicon,N727,S515
4348E,DNA amplicon,N727,S516
4348F,DNA amplicon,N727,S517
