newfile,taxonomy
3659d_QQ.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;NA;NA
3659c_QQ.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;NA;NA
3659a_QQ.scf,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
3652h_QQ.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideales_fam_Incertae_sedis;g__Hortaea;s__thailandica
3652f_QQ.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;NA;NA
3652c_QQ.scf,k__Fungi;NA;NA;NA;NA;NA;NA
3641b_QQ.scf,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mytilinidales;f__Gloniaceae;g__Cenococcum;NA
3641a_QQ.scf,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
3608h_QQ.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA
3608g_QQ.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Peziza;s__ostracoderma
3608e_QQ.scf,k__Fungi;NA;NA;NA;NA;NA;NA
3608d_QQ.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA
3608c_QQ.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Peziza;s__ostracoderma
3608b_QQ.scf,k__Fungi;NA;NA;NA;NA;NA;NA
3604g_QQ.scf,k__Fungi;NA;NA;NA;NA;NA;NA
3604f_QQ.scf,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
3604d_QQ.scf,k__Fungi;NA;NA;NA;NA;NA;NA
3604c_QQ.scf,"NA;NA;NA;NA;NA;NA;NA"
3604b_QQ.scf,k__Fungi;NA;NA;NA;NA;NA;NA
3604a_QQ.scf,k__Fungi;NA;NA;NA;NA;NA;NA
3579g_QQ.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricomycetes_ord_Incertae_sedis;f__Agaricomycetes_fam_Incertae_sedis;g__Xenasmatella;NA
