seedling_id,seedling_sp,soil_type,neighb_sp,neighb_st,drought_treat,compartment,mass,plant_compartment,area,sapwood_diameter,sapwood_area
4060,Q,P,Q,C,D,A,0.759,aboveground,0.197838951233458,NA,NA
3124,Q,C,Q,P,D,A,0.681,aboveground,0.10594615633675712,NA,NA
3124,Q,C,Q,P,D,A,0.676,aboveground,0.10594615633675712,NA,NA
4082,Q,P,P,Q,D,A,0.33299999999999996,aboveground,0.07132253153395195,NA,NA
3769,P,Q,Q,P,D,A,0.544,aboveground,0.18705954078574824,NA,NA
3440,P,C,P,Q,D,A,0.138,aboveground,0.05181660363320725,2.22,3.8707563084879846
3854,P,Q,P,C,D,A,0.379,aboveground,0.12510591687850042,2.58,5.227924334838775
3337,P,C,P,P,D,A,0.26,aboveground,0.08004904898698685,2.38,4.448809356748506
4289,P,P,P,C,D,A,0.259,aboveground,0.1041670972230833,2.97,6.927918659512553
3543,Q,Q,Q,P,D,A,0.326,aboveground,0.07713676538464188,NA,NA
4081,Q,P,Q,Q,D,A,0.547,aboveground,0.09631202595738524,NA,NA
3583,Q,Q,P,P,D,A,0.379,aboveground,0.08244122043799643,4.04,12.818954663707792
4343,P,P,Q,Q,D,A,0.074,aboveground,0.038057742782152224,1.43,1.6060607043314417
3517,Q,Q,P,P,D,A,0.48,aboveground,0.12071079697714952,3.25,8.295768100885548
4323,P,P,Q,Q,D,A,0.359,aboveground,0.11856490379647425,3.05,7.306166415004761
3524,Q,Q,Q,P,D,A,0.449,aboveground,0.13002631560818678,NA,NA
4018,Q,P,Q,Q,D,A,0.272,aboveground,0.05293260586521173,NA,NA
4109,Q,P,P,Q,D,A,0.573,aboveground,0.09202023959603477,NA,NA
3821,P,Q,Q,P,D,A,0.127,aboveground,0.05351471814054739,NA,NA
4258,P,P,Q,Q,D,A,0.308,aboveground,0.09066657022202931,NA,NA
3521,Q,Q,P,P,D,A,0.945,aboveground,0.17003189561934678,NA,NA
