Seedling_id,Height_cm,Diameter_mm,Leaf_count,Chlorosis,Branching,Notes
3339,5.1,2.3,,3,4,
3898,6.2,2.8,,3,11,
3827,12.4,4,,4,28,
3612,14,4.3,25,,12,
4175,10.5,5.3,19,,4,
4237,8.6,3,,4,17,
4274,9.6,3,,2,8,
3795,12.1,4.7,,3,9,
3764,9.3,1.9,,0,7.5,
3382,3.9,2.2,,3,4,
3643,7,2.6,2,,,b
3646,10.1,5.2,17,,6,b
3434,6.5,2,,0,6,
3900,7.5,2.5,,5,15,
3697,16.2,7.1,,4,,
3771,6.5,2.7,,0,1.5,
3708,19.7,5.1,11,,6,
3709,10.6,4.7,15,,,
3873,9.4,3.2,,3,23,
3475,5,1.7,,0,1,
3645,9.7,3.7,6,,1.5,
3186,8.9,4.9,4,,2,
4424,4.9,1.5,,0,2,
3998,6,5.9,14,,5,b
3650,8.3,3.7,11,,1,
4265,9,3.1,,4,14,
3241,4.1,2.1,,0,,
4251,7.9,2.8,,5,10,
3044,7.3,4.1,3,,1,
3045,9.5,6.3,3,,,
4015,15.6,4,5,,,
3581,11.4,4.3,12,,,
3619,10.1,4.3,12,,0.5,
3621,5,3.1,3,,,b
4063,6.3,6.1,39,,13,
4379,9.2,2.9,,3,14.5,
3327,2.5,1.1,,0,,
4311,4.8,2,,0,19,
4367,7.6,2.4,,5,10,
3614,13.1,3.9,8,,,
4410,11.4,3.4,,4,21,
3261,7.4,2.2,,3,10,
3856,9.5,2.3,,0,11,
4013,8.9,4.5,17,,13,
3640,12,4.9,15,,,
3599,9.9,6.7,8,,1.5,
3849,9.3,3.4,,4,17.5,
3817,5.9,2.5,,3,9,
4378,8.6,3,,4,9,
4089,10.7,3.3,22,,10.5,
3825,6.1,2.9,,2,14.5,
3338,8.5,3.4,,4,17,
3752,11.3,3.1,,4,7,
3739,5.1,1.6,,0,3,
3151,12.8,4.2,15,,,
3191,7,4.5,3,,2,
3785,10.8,3.1,,3,20,
3777,8.5,3.3,,4,15,
3260,5.4,2.1,,0,3,
4400,9.2,3.1,,4,8,
3799,11.6,3.3,,3,15.5,
3679,5.4,4,5,,,
3600,9.8,6.6,9,,6,
3046,12.4,5.5,5,,,
4061,10.4,4.9,14,,3.5,
3483,7.5,3.3,3,,,
3118,10.2,4.4,0,,,
3136,8.6,6.2,3,,2.5,
3000,21.3,5.7,3,,,
4014,6.4,4.6,12,,2,
4029,6.9,3.4,8,,,
4056,6.7,5.2,4,,,
4159,6.5,6.7,9,,2,
3114,7.7,5.2,4,,,
3837,9.5,3,,4,11,
3587,20.5,5.9,5,,3,
3383,6.3,2,,4,11,
4407,7.3,2.8,,4,20,
3335,8,2.2,,2,6,
3905,8.9,2.8,,4,21.5,
3135,5.5,8,6,,4,
3132,12.8,4.4,3,,,
4280,9.8,3.5,,4,21.5,
4079,14.6,6,8,,,
3272,7.8,1.9,,3,7.5,
4293,6.8,2.5,,4,19,
4195,9,5.7,24,,23,
3008,8.6,7.6,7,,,
3532,11.6,3.9,9,,4,b
4228,8.6,2.6,,3,7.5,
4255,5.8,2.7,,4,7,
3584,11.2,5.2,7,,,
3250,3.2,2.1,,0,2,
3438,4,1.8,,0,,
3254,4.8,2.8,,3,3,
4253,8.1,3.6,,3,5,
4399,9,3,,2,8,
4227,13.7,4,,4,12.5,
4133,11,4.6,10,,1.5,
3850,5.1,2.7,,0,2,
3626,7.4,4,17,,5,
3629,14.4,5.3,6,,1,
4316,9.8,3.5,,4,14,
3885,7.2,3.5,,4,10,
4221,8.5,3.3,,3,13,
3549,10.2,4.9,19,,13,
3746,6.7,2.7,,2,17,
3623,9.7,4.7,15,,7,
3542,9.8,3.8,17,,5,
3844,12.3,4.4,,5,11,
3839,12.5,3.8,,4,16,
3838,7.9,3.7,,2,16.5,
4135,8.2,4.1,11,,2.5,
3095,8.6,6.3,13,,10,
3723,5.6,2.5,,4,9,
4218,8.1,3.6,,5,19,
4333,8,3.7,,5,30,
3775,10.4,3.2,,3,3,
3489,26.3,4.5,5,,1.5,
3511,6.1,3.8,3,,,
3999,5.5,4.7,18,,4,
3860,9,3.6,,4,24,
4312,6.3,2.8,,3,15,
3553,5.8,3.3,10,,1,
3611,9.5,3.7,7,,,
3077,5.6,4.2,7,,,
4435,4.3,2.4,,2,6.5,
3364,8.7,3.2,,4,18,
3995,5.9,4,3,,1,b
4007,8.7,5.2,6,,2,
3392,2.8,2.3,,0,,
3400,4.3,2.4,,0,1.5,
4213,8.6,4,,3,25,
4187,6.9,4.3,9,,1.5,
3243,3.8,1.7,,0,,
3242,3.2,2.1,,0,2,
3325,3.7,1.5,,0,,
3333,3.7,2.6,,0,,
4183,12.9,4.5,11,,5,
3959,7.4,3.9,,4,8,
4368,4.9,3.3,,5,16.5,
4384,6.5,3.2,,4,16,
4392,7.1,3.5,,4,29,
4388,5.5,1.9,,0,1.8,
3915,8.3,3.7,,5,13,
3958,8.3,3.1,,4,9.5,
3494,9.1,2.9,11,,1.5,
4260,9.9,3.3,,5,11,
3853,8.7,3.5,,4,16,
4055,4.3,4.6,12,,13.5,
3576,10.2,5.6,8,,,
4329,8.2,1.8,,0,6.5,
4146,12.5,5.2,15,,7.5,
3531,7,4.7,9,,,
3359,4.9,2.6,,0,2,
3348,3.5,2,,0,2,
4017,9.5,5.3,19,,2,
3042,6.2,4.3,13,,1.5,
3813,6.5,2.2,,4,6.5,
3356,6.1,2.5,,5,3.5,
3495,10.7,5,17,,10,
4319,7.3,3.2,,5,15.5,
4088,5.9,4.5,9,,,
3684,8,6,11,,13,
3992,7,5.1,11,,,
4008,8.8,3.7,12,,5,
3006,6.6,5,3,,,
3593,7.5,5.3,7,,4,
3574,10.8,4.3,3,,,
3183,4.9,5.4,9,,9,
4322,5.8,2.8,,5,12,
4408,5.7,3.6,,4,16,
3268,2.7,1.7,,0,,
3386,3.6,1.9,,0,,
3550,9.5,5.8,10,,4.5,
3181,12.4,5,7,,,
4096,11.7,3.3,10,,1.5,
3109,4.8,5.2,5,,1.5,
3107,8.2,4.5,3,,1.5,
4041,11.6,5.1,33,,8,
3273,4.6,1.9,,0,,
3776,6,3,,4,9,
3569,12.3,5.3,3,,,
3932,10.2,3.7,,4,12,
3609,23.7,5.4,12,,6,
3606,15.4,5.7,5,,1,
3016,6.5,5.1,5,,3.5,
3130,8.2,6.1,20,,9,
4317,10.4,3.8,,5,17,
3638,10.2,5,9,,1,
4291,8.5,2.8,,5,6,
4290,7.5,3.2,,5,13,
3970,11.5,4,14,,8,
3913,6,3.3,,5,27,
3993,9.1,3.2,5,,1,
3112,8,4.2,11,,1.5,
3390,8.5,2.9,,4,15.5,
4281,8.5,3.7,,4,17,
3172,6.4,3.8,11,,1,
4422,7.4,3,,3,19.5,
3381,6.4,2.4,,3,5.5,
3883,7.9,3,,4,17,
3590,8.7,4.4,21,,7,
4021,7.2,5.8,3,,2.5,
3836,7.9,3.8,,3,30,
4243,7.4,2.5,,3,9.5,
3245,4.7,2.7,,2,6,
3933,6.5,2.8,,3,19,
4000,7.1,4.2,5,,,
3559,8.6,3.7,12,,3,
3773,5.5,2.7,,3,10,
3473,5.1,2.8,,3,4,
3714,11.1,4.8,8,,1,
3695,9.8,4.6,12,,9,
4098,6.4,4.6,9,,2,
3653,12.7,5.2,24,,3.5,
3665,11.5,4.4,16,,2,
4426,7.1,3.6,,2,17,
3967,7.7,5.8,14,,2,
3693,6.8,4.6,7,,,
