seedling_id,pustularia_sp,tuber_sp,rhizopogon_hawkerae,melanogaster_sp,richness
3899,0,0,0.5802469135802469,0,1
3900,0,0,0.5631067961165048,0,1
3905,0,0,0.4931506849315068,0,1
3913,0,0,0.6222222222222222,0,1
3915,0,0,0.45454545454545453,0,1
3918,0,0,0.3577981651376147,0,1
3921,0,0,0.45454545454545453,0,1
3932,0,0,0.5390070921985816,0,1
3933,0,0,0.2920854271356784,0,1
3938,0.0196078431372549,0,0,0,1
3946,0,0,0.3875968992248062,0,1
3955,0,0,0.46226415094339623,0,1
3957,0,0,0.6864406779661016,0,1
3958,0,0,0.5035460992907801,0,1
3967,0.1676300578034682,0,0,0,1
3970,0.31958762886597936,0,0,0,1
3982,0.427536231884058,0,0,0,1
3987,0.2457627118644068,0,0,0,1
3994,0.5747126436781609,0,0,0,1
3999,0.0660377358490566,0,0,0,1
4008,0.31736526946107785,0,0,0,1
4010,0.6637168141592921,0,0,0,1
4014,0.12605042016806722,0,0,0,1
4015,0.35384615384615387,0,0,0,1
4020,0.16766467065868262,0,0,0,1
4026,0.6756756756756757,0,0,0,1
4027,0.2894736842105263,0,0,0,1
4036,0.4251497005988024,0,0,0,1
4038,0.24305555555555555,0,0,0,1
4044,0.4672131147540984,0,0,0,1
4046,0.46218487394957986,0,0,0,1
4047,0.4157303370786517,0,0,0,1
4060,0.4315068493150685,0,0,0,1
4061,0.20869565217391303,0,0,0,1
4066,0.2,0,0,0,1
4081,0.15454545454545454,0,0,0,1
4083,0.0949367088607595,0,0,0,1
4085,0.40869565217391307,0,0,0,1
4088,0.7151515151515152,0,0,0,1
4091,0.035377358490566044,0,0.01179245283018868,0,2
4092,0.4825174825174825,0,0,0,1
4097,0.19827586206896552,0,0,0,1
4109,0.1794871794871795,0,0,0,1
4132,0.28125,0,0,0,1
4134,0.3474576271186441,0,0,0,1
4139,0.0782608695652174,0,0,0,1
4147,0.21641791044776118,0,0,0,1
4149,0.47093023255813954,0,0,0,1
4151,0.4235294117647059,0,0,0,1
4163,0.5306122448979592,0,0,0,1
4175,0.3409090909090909,0,0,0,1
4187,0.33587786259541985,0,0,0,1
4195,0.10843373493975904,0,0,0,1
4222,0,0,0.2916666666666667,0,1
4242,0,0,0.4632352941176471,0,1
4251,0,0,0.4846153846153846,0,1
4260,0,0,0.35664335664335667,0,1
4271,0,0,0.42857142857142855,0,1
4273,0,0,0.873015873015873,0,1
4321,0,0,0.7,0,1
4325,0,0,0.4957627118644068,0,1
4332,0.1941747572815534,0,0,0,1
4333,0,0,0.45652173913043476,0,1
4345,0,0,0.8285714285714286,0,1
4390,0,0,0.3310344827586207,0,1
4435,0,0,0,0,0
