seedling_id,colonized,uncolonized,plate,column,A,B,C,D,E,F,G,H,tip_notes,puller
3264,0,0,,,,,,,,,,,,hvm
3387,0,0,,,,,,,,,,,,hvm
4307,0,0,,,,,,,,,,,,hvm
3711,48,60,105,11,,,,,G,G,G,G,,hvm
4246,0,0,,,,,,,,,,,,hvm
3562,51,80,106,1,H,H,H,H,H,H,H,H,,hvm
3767,80,43,106,2,X,X,X,X,,,,,,hvm
3577,0,0,,,,,,,,,,,,hvm
4026,75,36,106,3,D,D,D,D,D,D,D,D,,hvm
3760,88,44,106,2,,,,,X,X,X,X,,hvm
4157,0,0,,,,,,,,,,,,hvm
4004,0,0,,,,,,,,,,,,hvm
3496,35,104,106,4,D,D,D,D,D,D,D,D,,hvm
3505,0,0,,,,,,,,,,,,hvm
3628,0,0,,,,,,,,,,,,hvm
3782,37,85,106,5,X,X,X,X,,,,,,hvm
4258,14,82,106,5,,,,,W,W,W,W,,hvm
4088,118,47,106,6,G,G,G,G,G,G,G,G,,hvm
3110,0,0,,,,,,,,,,,,hvm
4083,15,143,106,7,G,G,G,G,,,,,,hvm
3890,0,0,,,,,,,,,,,OLD DEAD TIPS,hvm
4315,0,0,,,,,,,,,,,,hvm
3684,82,49,106,7,,,,,G,G,G,G,,hvm
4033,0,0,,,,,,,,,,,,hvm
4025,0,0,,,,,,,,,,,,hvm
3276,0,0,,,,,,,,,,,,hvm
3521,0,0,,,,,,,,,,,,hvm
4290,0,0,,,,,,,,,,,,hvm
3574,0,0,,,,,,,,,,,,hvm
3774,57,86,106,8,X,X,X,X,,,,,,hvm
3965,0,0,,,,,,,,,,,,hvm
4417,0,0,,,,,,,,,,,,hvm
3986,0,0,,,,,,,,,,,,hvm
3853,0,0,,,,,,,,,,,,hvm
4055,0,0,,,,,,,,,,,,hvm
4124,0,0,,,,,,,,,,,,hvm
3821,0,0,,,,,,,,,,,,hvm
4109,28,128,106,8,,,,,G,G,G,G,,hvm
4146,0,0,,,,,,,,,,,,hvm
3531,0,0,,,,,,,,,,,,hvm
3576,0,0,,,,,,,,,,,,hvm
4133,0,0,,,,,,,,,,,,hvm
3752,90,94,106,9,X,X,X,X,,,,,,hvm
3963,0,0,,,,,,,,,,,,hvm
3739,0,0,,,,,,,,,,,,hvm
3696,0,0,,,,,,,,,,,,hvm
4329,17,64,106,9,,,,,W,W,W,N,all pretty dead,hvm
3847,0,0,,,,,,,,,,,,hvm
4361,0,0,,,,,,,,,,,,hvm
3850,0,0,,,,,,,,,,,,hvm
3568,0,0,,,,,,,,,,,,hvm
3619,0,0,,,,,,,,,,,,hvm
3621,0,0,,,,,,,,,,,,hvm
3842,0,0,,,,,,,,,,,,hvm
3856,0,0,,,,,,,,,,,,hvm
4013,0,0,,,,,,,,,,,,hvm
3954,0,0,,,,,,,,,,,OLD DEAD EM TIPS,hvm
4261,0,0,,,,,,,,,,,,hvm
NA,NA,,,,,,,,,,,,,hvm
NA,NA,,,,,,,,,,,,,hvm
3272,81,41,106,10,X,X,X,X,,,,,,hvm
4293,68,96,106,10,,,,,W,W,W,W,,hvm
3111,0,0,,,,,,,,,,,,hvm
3126,0,0,,,,,,,,,,,,hvm
3107,0,0,,,,,,,,,,,,hvm
4041,0,0,,,,,,,,,,,,hvm
3550,0,0,,,,,,,,,,,,hvm
3181,0,0,,,,,,,,,,,,hvm
3606,30,105,106,11,A,A,A,A,,,,,,hvm
3609,21,159,106,11,,,,,A,A,A,,,hvm
4036,71,96,106,12,A,A,A,A,,,,,,hvm
3536,42,73,106,12,,,,,A,A,A,A,,hvm
3581,19,155,107,1,A,A,A,A,,,,,,hvm
4015,46,84,107,1,,,,,A,A,A,A,,hvm
3840,0,0,,,,,,,,,,,,hvm
3493,0,0,,,,,,,,,,,,hvm
3616,0,0,,,,,,,,,,,,hvm
3741,77,44,107,2,X,X,X,X,,,,,,hvm
3043,0,0,,,,,,,,,,,,hvm
3688,25,78,107,2,,,,,G,G,G,G,,hvm
3617,34,76,107,3,F,F,G,G,F,F,F,F,,hvm
3592,0,0,,,,,,,,,,,,hvm
3033,0,0,,,,,,,,,,,,hvm
4155,0,0,,,,,,,,,,,,hvm
3593,18,109,107,4,G,G,G,G,,,,,,hvm
3006,38,61,107,4,,,,,G,G,G,G,,hvm
4017,0,0,,,,,,,,,,,,hvm
3042,0,0,,,,,,,,,,,,hvm
3112,0,0,,,,,,,,,,,,hvm
3993,0,0,,,,,,,,,,,,hvm
3001,0,0,,,,,,,,,,,,hvm
3974,0,0,,,,,,,,,,,,hvm
3662,25,82,107,5,A,A,A,A,,,,,,hvm
3655,92,56,107,5,,,,,A,A,A,A,,hvm
4175,45,87,107,6,A,A,A,A,,,,,,hvm
4237,0,0,,,,,,,,,,,OLD DEAD EM TIPS,hvm
3620,24,189,107,6,,,,,B,B,B,B,,hvm
3140,0,0,,,,,,,,,,,,hvm
3135,0,0,,,,,,,,,,,,hvm
3858,101,40,107,7,X,X,X,X,,,,,,hvm
3132,0,0,,,,,,,,,,,,hvm
3832,59,50,107,7,,,,,X,X,X,X,,hvm
4308,0,0,,,,,,,,,,,,hvm
4011,0,0,,,,,,,,,,,,hvm
3650,0,0,,,,,,,,,,,,hvm
4265,0,0,,,,,,,,,,,,hvm
3769,92,49,107,8,X,X,X,X,,,,,,hvm
3569,0,0,,,,,,,,,,,,hvm
4082,0,0,,,,,,,,,,,,hvm
3932,76,65,107,8,,,,,X,X,X,X,,hvm
4100,0,0,,,,,,,,,,,,hvm
3732,68,81,107,9,X,X,X,X,,,,,,hvm
4035,0,0,,,,,,,,,,,,hvm
4321,84,36,107,9,,,,,X,X,X,X,,hvm
3970,31,66,107,10,A,A,A,A,,,,,,hvm
4362,0,0,,,,,,,,,,,,hvm
3913,84,51,107,10,,,,,X,X,X,X,,hvm
4241,0,0,,,,,,,,,,,,hvm
4255,0,0,,,,,,,,,,,,hvm
3584,41,89,107,11,A,A,A,A,,,,,,hvm
3339,59,37,107,11,,,,,X,X,X,X,,hvm
3898,45,53,107,12,X,X,X,X,,,,,,hvm
4222,35,85,107,12,,,,,X,X,X,X,,hvm
3808,45,66,108,1,X,X,X,X,X,X,X,X,,hvm
3742,73,37,108,2,X,X,X,X,X,X,X,X,,hvm
3724,67,42,108,3,X,X,X,X,X,X,X,X,,hvm
3335,85,66,108,4,X,X,X,X,X,X,X,X,,hvm
3905,72,74,108,5,X,X,X,X,X,X,X,X,,hvm
NA,,,,,,,,,,,,,,hvm
NA,,,,,,,,,,,,,,hvm
3331,0,,,,,,,,,,,,,gcr
3334,0,,,,,,,,,,,,,gcr
4336,0,,,,,,,,,,,,,gcr
3414,0,,,,,,,,,,,,,gcr
3589,0,,,,,,,,,,,,,gcr
4140,0,,,,,,,,,,,,,gcr
4097,23,93,109,1,G,G,G,G,,,,,,gcr
3529,22,134,109,1,,,,,G,G,G,G,,gcr
4387,0,,,,,,,,,,,,,gcr
4353,0,,,,,,,,,,,,,gcr
3757,52,74,109,2,X,X,X,X,,,,,,gcr
4271,57,76,109,2,,,,,X,X,X,X,,gcr
3076,24,81,109,3,X,X,,,,,,,,gcr
3055,10,107,109,3,,,X,X,,,,,,gcr
4311,0,,,,,,,,,,,,,gcr
3327,0,,,,,,,,,,,,,gcr
3474,0,,,,,,,,,,,,,gcr
3269,0,,,,,,,,,,,,,gcr
3433,0,,,,,,,,,,,,,gcr
3392,0,,,,,,,,,,,,,gcr
3270,0,,,,,,,,,,,,,gcr
3400,0,,,,,,,,,,,,MAYBE CENOCOCCUM,gcr
3545,0,,,,,,,,,,,,,gcr
#REF!,0,,,,,,,,,,,,,gcr
#REF!,0,,,,,,,,,,,,,gcr
3184,0,,,,,,,,,,,,,gcr
3412,0,,,,,,,,,,,,,gcr
3398,0,,,,,,,,,,,,,gcr
3348,0,,,,,,,,,,,,,gcr
3359,0,,,,,,,,,,,,,gcr
3605,0,,,,,,,,,,,,,gcr
4037,0,,,,,,,,,,,,,gcr
3379,0,,,,,,,,,,,,,gcr
3358,0,,,,,,,,,,,,,gcr
4007,0,,,,,,,,,,,,,gcr
3995,0,,,,,,,,,,,,,gcr
3646,0,,,,,,,,,,,,,gcr
3369,0,,,,,,,,,,,,,gcr
3643,5,194,109,3,,,,,E,E,,,,gcr
3740,0,,,,,,,,,,,,,gcr
3281,0,,,,,,,,,,,,,gcr
3279,0,,,,,,,,,,,,,gcr
3189,0,,,,,,,,,,,,,gcr
3565,0,,,,,,,,,,,,,gcr
3513,0,,,,,,,,,,,,,gcr
3812,32,67,109,3,,,,,,,W,W,,gcr
3386,0,,,,,,,,,,,,,gcr
3268,0,,,,,,,,,,,,,gcr
3438,0,,,,,,,,,,,,,gcr
3250,0,,,,,,,,,,,,,gcr
3242,0,,,,,,,,,,,,,gcr
3243,0,,,,,,,,,,,,,gcr
4344,0,,,,,,,,,,,,,gcr
3265,0,,,,,,,,,,,,,gcr
3891,50,55,109,4,X,X,X,X,,,,,,gcr
3349,29,112,109,4,,,,,X,X,X,X,,gcr
4278,0,,,,,,,,,,,,,gcr
3798,0,,,,,,,,,,,,,gcr
3872,0,,,,,,,,,,,,,gcr
3251,0,,,,,,,,,,,,,gcr
3825,0,,,,,,,,,,,,,gcr
3333,0,,,,,,,,,,,,,gcr
4122,0,,,,,,,,,,,,,gcr
3737,0,,,,,,,,,,,,,gcr
NA,,,,,,,,,,,,,,gcr
NA,,,,,,,,,,,,,,gcr
3826,0,,,,,,,,,,,,,gcr
3701,0,,,,,,,,,,,,,gcr
3705,NA,,,,,,,,,,,,,gcr
3806,0,,,,,,,,,,,,NO ROOTS,gcr
4032,0,,,,,,,,,,,,,gcr
4230,0,,,,,,,,,,,,,gcr
4326,0,,,,,,,,,,,,,gcr
3557,0,,,,,,,,,,,,,gcr
4330,0,,,,,,,,,,,,,gcr
4019,0,,,,,,,,,,,,,gcr
4249,0,,,,,,,,,,,,,gcr
4402,0,,,,,,,,,,,,,gcr
3522,0,,,,,,,,,,,,,gcr
3497,0,,,,,,,,,,,,,gcr
3998,0,,,,,,,,,,,,,gcr
4424,0,,,,,,,,,,,,,gcr
3755,50,150,,,,,,,,,,,,gcr
4212,0,,,,,,,,,,,,,gcr
4145,0,,,,,,,,,,,,,gcr
4136,0,,,,,,,,,,,,,gcr
4388,28,112,,,,,,,,,,,,gcr
4392,0,,,,,,,,,,,,,gcr
3382,59,105,109,5,X,X,X,X,,,,,,gcr
3764,94,67,109,5,,,,,X,X,X,X,,gcr
3241,17,121,109,6,X,X,X,X,,,,,,gcr
4251,63,67,109,6,,,,,X,X,X,X,,gcr
3896,6,117,109,7,X,X,,,,,,,,gcr
3938,4,200,109,7,,,Z,Z,,,,,,gcr
4266,0,,,,,,,,,,,,,gcr
3425,0,,,,,,,,,,,,,gcr
3852,26,175,109,7,,,,,Z,Z,X,X,,gcr
4398,5,423,,,,,,,,,,,,gcr
3426,0,,,,,,,,,,,,,gcr
4412,0,,,,,,,,,,,,,gcr
4310,10,159,,,,,,,,,,,DEAD TIPS,gcr
4305,0,,,,,,,,,,,,,gcr
3434,42,76,109,8,X,X,X,X,,,,,,gcr
3900,58,45,109,8,,,,,X,X,X,X,,gcr
4162,0,,,,,,,,,,,,,gcr
4320,0,,,,,,,,,,,,,gcr
3475,0,,,,,,,,,,,,,gcr
3273,0,,,,,,,,,,,,,gcr
3873,65,74,109,9,X,X,X,X,,,,,,gcr
3776,0,,,,,,,,,,,,,gcr
3284,0,,,,,,,,,,,,,gcr
4285,0,,,,,,,,,,,,,gcr
3897,0,,,,,,,,,,,,,gcr
3378,31,116,109,9,,,,,X,X,X,X,,gcr
4397,0,,,,,,,,,,,,,gcr
3953,0,,,,,,,,,,,,,gcr
3834,0,,,,,,,,,,,,,gcr
4369,0,,,,,,,,,,,,,gcr
4394,0,,,,,,,,,,,,,gcr
4043,0,,,,,,,,,,,,,gcr
3260,0,,,,,,,,,,,,,gcr
4400,0,,,,,,,,,,,,,gcr
3766,12,147,109,10,X,X,,,,,,,,gcr
3415,0,,,,,,,,,,,,,gcr
3862,34,88,109,10,,,X,X,X,,,,,gcr
3731,65,57,109,10,,,,,,X,X,X,,gcr
NA,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,
3697,0,,,,,,,,,,,,,hvm
3771,0,,,,,,,,,,,,,hvm
3016,0,,,,,,,,,,,,,hvm
3130,0,,,,,,,,,,,,,hvm
3700,34,78,109,11,G,G,G,G,,,,,,hvm
3787,0,,,,,,,,,,,,,hvm
3997,0,,,,,,,,,,,,,hvm
4286,0,,,,,,,,,,,,,hvm
3197,0,,,,,,,,,,,,,hvm
4158,0,,,,,,,,,,,,,hvm
4044,57,65,109,11,,,,,G,G,G,G,,hvm
3482,0,,,,,,,,,,,,,hvm
3124,0,,,,,,,,,,,,,hvm
3987,29,89,109,12,G,G,G,G,,,,,,hvm
3056,45,71,109,12,,,,,G,G,G,N,,hvm
3058,0,,,,,,,,,,,,,hvm
3917,0,,,,,,,,,,,,,hvm
3567,0,,,,,,,,,,,,,hvm
4060,63,83,110,1,G,G,G,G,,,,,,hvm
4148,0,,,,,,,,,,,,,hvm
3511,0,,,,,,,,,,,,,hvm
3489,0,,,,,,,,,,,,,hvm
4407,0,,,,,,,,,,,,,hvm
3383,0,,,,,,,,,,,,,hvm
3778,0,,,,,,,,,,,,,hvm
3337,0,,,,,,,,,,,,,hvm
4002,0,,,,,,,,,,,,,hvm
4289,0,,,,,,,,,,,,,hvm
3077,15,62,110,1,,,,,D,D,D,D,,hvm
4408,0,,,,,,,,,,,,,hvm
3611,0,,,,,,,,,,,,,hvm
4322,0,,,,,,,,,,,,,hvm
4429,0,,,,,,,,,,,,,hvm
3615,0,,,,,,,,,,,,,hvm
4034,0,,,,,,,,,,,,,hvm
3038,0,,,,,,,,,,,,,hvm
4001,0,,,,,,,,,,,,,hvm
3623,47,55,110,2,G,G,G,G,,,,,,hvm
3746,0,0,,,,,,,,,,,,hvm
4282,0,,,,,,,,,,,,,hvm
4132,27,69,110,2,,,,,G,G,G,G,,hvm
3188,0,,,,,,,,,,,,,hvm
3481,0,,,,,,,,,,,,,hvm
4257,0,,,,,,,,,,,,,hvm
3709,0,,,,,,,,,,,,,hvm
3708,83,77,110,3,G,G,G,G,,,,,,hvm
4092,69,74,110,3,,,,,G,G,G,G,,hvm
4235,0,,,,,,,,,,,,,hvm
4054,0,,,,,,,,,,,,,hvm
3119,0,,,,,,,,,,,,,hvm
3108,0,,,,,,,,,,,,,hvm
4030,0,,,,,,,,,,,,,hvm
3893,98,45,110,4,X,X,X,X,,,,,,hvm
3556,17,101,110,4,,,,,G,G,G,G,,hvm
